npm/npmjs/@theia/outline-view/1.6.0, , approved, eclipse
npm/npmjs/@theia/getting-started/1.6.0, , approved, eclipse
npm/npmjs/@theia/timeline/1.6.0, , approved, eclipse
npm/npmjs/@theia/git/1.6.0, , approved, eclipse
npm/npmjs/@theia/plugin-ext/1.6.0, , approved, eclipse
npm/npmjs/@theia/filesystem/1.6.0, , approved, eclipse
npm/npmjs/@theia/messages/1.6.0, , approved, eclipse
npm/npmjs/@theia/plugin-ext-vscode/1.6.0, , approved, eclipse
npm/npmjs/@theia/typehierarchy/1.6.0, , approved, eclipse
npm/npmjs/@theia/search-in-workspace/1.6.0, , approved, eclipse
npm/npmjs/@theia/electron/1.6.0, , approved, eclipse
npm/npmjs/@theia/node-pty/0.9.0-theia.6, , approved, eclipse
npm/npmjs/@theia/file-search/1.6.0, , approved, eclipse
npm/npmjs/@theia/console/1.6.0, , approved, eclipse
npm/npmjs/@theia/preferences/1.6.0, , approved, eclipse
npm/npmjs/@theia/application-package/1.6.0, , approved, eclipse
npm/npmjs/@theia/process/1.6.0, , approved, eclipse
npm/npmjs/@theia/output/1.6.0, , approved, eclipse
npm/npmjs/@theia/cli/1.6.0, , approved, eclipse
npm/npmjs/@theia/keymaps/1.6.0, , approved, eclipse
npm/npmjs/@theia/callhierarchy/1.6.0, , approved, eclipse
npm/npmjs/@theia/application-manager/1.6.0, , approved, eclipse
npm/npmjs/@theia/monaco/1.6.0, , approved, eclipse
npm/npmjs/@theia/editor/1.6.0, , approved, eclipse
npm/npmjs/@theia/navigator/1.6.0, , approved, eclipse
npm/npmjs/@theia/userstorage/1.6.0, , approved, eclipse
npm/npmjs/@theia/core/1.6.0, , approved, eclipse
npm/npmjs/@theia/vsx-registry/1.6.0, , approved, eclipse
npm/npmjs/-/byline/5.0.0, , approved, CQ18717
npm/npmjs/-/esutils/2.0.3, , approved, CQ18717
npm/npmjs/-/babel-helper-define-map/6.26.0, , approved, CQ18717
npm/npmjs/-/postcss-svgo/2.1.6, , approved, CQ18717
npm/npmjs/-/detect-libc/1.0.3, Apache-2.0, approved, CQ16925
npm/npmjs/-/p-queue/2.4.2, , approved, CQ18717
npm/npmjs/-/mixin-deep/1.3.2, , approved, CQ18717
npm/npmjs/-/depd/1.1.2, MIT, approved, CQ16925
npm/npmjs/-/repeating/2.0.1, MIT, approved, CQ16925
npm/npmjs/-/snapdragon-node/2.1.1, , approved, CQ18717
npm/npmjs/-/eslint-scope/4.0.3, , approved, CQ18717
npm/npmjs/-/to-regex/3.0.2, , approved, CQ18717
npm/npmjs/@types/highlight.js/9.12.4, , approved, CQ18717
npm/npmjs/@phosphor/properties/1.1.3, BSD-3-Clause, approved, emo_ip_team
npm/npmjs/-/unzip-stream/0.3.1, , approved, CQ18717
npm/npmjs/@xtuc/ieee754/1.2.0, , approved, CQ18717
npm/npmjs/-/font-awesome/4.7.0, OFL-1.1 AND MIT, approved, emo_ip_team
npm/npmjs/-/babel-plugin-syntax-class-constructor-call/6.18.0, , approved, CQ18717
npm/npmjs/-/multimatch/2.1.0, , approved, CQ18717
npm/npmjs/-/babel-helper-explode-assignable-expression/6.24.1, , approved, CQ18717
npm/npmjs/-/is-scoped/1.0.0, , approved, CQ18717
npm/npmjs/-/delegates/1.0.0, MIT, approved, CQ16925
npm/npmjs/-/unset-value/1.0.0, , approved, CQ18717
npm/npmjs/-/postcss-minify-font-values/1.0.5, , approved, CQ18717
npm/npmjs/-/xdg-trashdir/2.1.1, , approved, CQ18717
npm/npmjs/-/to-arraybuffer/1.0.1, MIT, approved, CQ16925
npm/npmjs/-/aws-sign2/0.7.0, Apache-2.0, approved, CQ16925
npm/npmjs/-/atob/2.1.2, , approved, CQ18717
npm/npmjs/-/regenerator-transform/0.10.1, , approved, CQ18717
npm/npmjs/@sindresorhus/df/1.0.1, , approved, CQ18717
npm/npmjs/-/copy-concurrently/1.0.5, , approved, CQ18717
npm/npmjs/-/regjsgen/0.2.0, , approved, CQ18717
npm/npmjs/-/file-type/6.2.0, , approved, CQ18717
npm/npmjs/-/setimmediate/1.0.5, , approved, CQ18717
npm/npmjs/-/xdg-basedir/2.0.0, , approved, CQ18717
npm/npmjs/-/babel-runtime/6.26.0, , approved, CQ18717
npm/npmjs/-/decamelize/1.2.0, MIT, approved, CQ16925
npm/npmjs/-/lodash.uniq/4.5.0, , approved, CQ18717
npm/npmjs/-/set-value/2.0.1, , approved, CQ18717
npm/npmjs/-/babel-helper-builder-binary-assignment-operator-visitor/6.24.1, , approved, CQ18717
npm/npmjs/-/dashdash/1.14.1, MIT, approved, CQ16925
npm/npmjs/-/verror/1.10.0, MIT, approved, CQ16925
npm/npmjs/-/number-is-nan/1.0.1, MIT, approved, CQ16925
npm/npmjs/-/cli-table/0.3.1, , approved, CQ18717
npm/npmjs/-/vinyl/2.2.1, , approved, CQ18717
npm/npmjs/-/babel-plugin-transform-export-extensions/6.22.0, , approved, CQ18717
npm/npmjs/-/filename-reserved-regex/2.0.0, , approved, CQ18717
npm/npmjs/-/path-exists/2.1.0, MIT, approved, CQ16925
npm/npmjs/-/browserify-cipher/1.0.1, MIT, approved, CQ16925
npm/npmjs/-/babel-plugin-transform-async-generator-functions/6.24.1, , approved, CQ18717
npm/npmjs/-/ieee754/1.1.13, BSD-3-Clause, approved, CQ16925
npm/npmjs/-/minimist/1.2.5, MIT, approved, CQ16925
